001	Adsubia
002	Agost
003	Agres
004	Aigües
005	Albatera
006	Alcalalí
007	Alcosser
008	Alcoleja
009	Alcoy/Alcoi
010	Alfafara
011	Alfàs del Pi (l')
012	Algorfa
013	Algueña
014	Alicante/Alacant
015	Almoradí
016	Almudaina
017	Alqueria d'Asnar (l')
018	Altea
019	Aspe
020	Balones
021	Banyeres de Mariola
022	Benasau
023	Beneixama
024	Benejúzar
025	Benferri
026	Beniarbeig
027	Beniardà
028	Beniarrés
029	Benigembla
030	Benidoleig
031	Benidorm
032	Benifallim
033	Benifato
034	Benijófar
035	Benilloba
036	Benillup
037	Benimantell
038	Benimarfull
039	Benimassot
040	Benimeli
041	Benissa
042	Benitachell/Poble Nou de Benitatxell (el)
043	Biar
044	Bigastro
045	Bolulla
046	Busot
047	Calp
048	Callosa d'En Sarrià
049	Callosa de Segura
050	Campello (el)
051	Campo de Mirra/Camp de Mirra (el)
052	Cañada
053	Castalla
054	Castell de Castells
055	Catral
056	Cocentaina
057	Confrides
058	Cox
059	Crevillent
060	Quatretondeta
061	Daya Nueva
062	Daya Vieja
063	Dénia
064	Dolores
065	Elche/Elx
066	Elda
067	Facheca
068	Famorca
069	Finestrat
070	Formentera del Segura
071	Gata de Gorgos
072	Gaianes
073	Gorga
074	Granja de Rocamora
075	Castell de Guadalest (el)
076	Guardamar del Segura
077	Fondo de les Neus (El)/Hondon de las Nieves
078	Hondón de los Frailes
079	Ibi
080	Jacarilla
081	Xaló
082	Jávea/Xàbia
083	Jijona/Xixona
084	Lorcha/L'Orxa
085	Llíber
086	Millena
088	Monforte del Cid
089	Monóvar/Monòver
090	Mutxamel
091	Murla
092	Muro de Alcoy
093	Novelda
094	Nucia (la)
095	Ondara
096	Onil
097	Orba
098	Orxeta
099	Orihuela
100	Parcent
101	Pedreguer
102	Pego
103	Penàguila
104	Petrer
105	Pinos (El)/Pinoso
106	Planes
107	Polop
109	Rafal
110	Ràfol d'Almúnia (El)
111	Redován
112	Relleu
113	Rojales
114	Romana (la)
115	Sagra
116	Salinas
117	Sanet y Negrals
118	San Fulgencio
119	Sant Joan d'Alacant
120	San Miguel de Salinas
121	Santa Pola
122	San Vicente del Raspeig/Sant Vicent del Raspeig
123	Sax
124	Sella
125	Senija
127	Tàrbena
128	Teulada
129	Tibi
130	Tollos
131	Tormos
132	Torremanzanas/Torre de les Maçanes (la)
133	Torrevieja
134	Vall d'Alcalà (la)
135	Vall d'Ebo (la)
136	Vall de Gallinera (la)
137	Vall de Laguar (la)
138	Verger (el)
139	Villajoyosa/Vila Joiosa (la)
140	Villena
901	Poblets (els)
902	Pilar de la Horadada
903	Montesinos (Los)
904	San Isidro